Kárpáti Márton
Munk Veronika
Dull Szabolcs
Rovó Attila
Ajpek Orsi
Haász János
Hanula Zsolt
Lengyel-Szabó Péter
Lovas Gergő
Szalma Baksi Ferenc
Tóth-Szenesi Attila
Somogyi Péter
Ághassi Attila
Biró Marianna
Bolcsó Dániel
Bozzay Balázs
Brückner Gergely
Csatári Flóra Dóra
Cseke Balázs
Előd Fruzsina
Fábián Tamás
Fehér János
Flachner Balázs
Iván András
Iván-Nagy Szilvia
Janecskó Kata
Joób Sándor
Klág Dávid
Kolozsi Ádám
Koroknai Gergely
Mizsur András
Molnár Réka
Német Tamás
Nyilas Gergely
Pál Tamás
Pándi Balázs
Pintér Luca
Presinszky Judit
Sajó Dávid
Stöckert Gábor
Tenczer Gábor
Thüringer Barbara
Tóth Gergely
Kovács Zoltán
Ács Bori
Barakonyi Szabolcs
Bozsó Ági
Dömötör Bálint
Hrutka János
Körömi Csongor
Marjanovic Mira
Merényi Dániel
Mészáros Tamás
Simor Dániel
Zubreczki Dávid
Cséfalvay Attila-Győr
Laczó Balázs-Győr
Móra Ferenc Sándor-Szeged
Sudár Ágnes-Győr
Rácz Attila
Arnótszky Janka
Ungár Péter
